acclaim,に喝采する
bloke,奴
parch,からからにする
theoretically,理論上
alto,《伊》アルト
vault,金庫
lance,切開する
arsenal,兵器庫
fineness,りっぱさ
assured,保証された
modernism,現代的思考[精神
installment,分割払い込み金
plaything,遊び道具
gin,綿織り機
elude,逃れる
indictment,告発
atrocity,残虐(行為)
chic,あかぬけた
bridal,花嫁の
tangle,からませる
sever,断絶する
lousy,ひどい
cavity,虫歯の穴
immovable,動きのない
authenticity,信憑性
denim,デニム
rebound,回復する
recitation,詳述
semester,学期
alibi,現場不在証明
swerve,急に曲がる
invalidate,無効にする
viable,実行可能な
advent,出現
afresh,新たに
encompass,…を包み込む
resell,転売する
infinity,無限領域
override,覆す
fabricate,組み立てる
pacifist,平和主義者
relativity,相対性物理学
subculture,
exposition,博覧会
lag,ついて行けなくなる
rebirth,再生 復活
flattering,お世辞の
moisten,湿らせる
erode,腐食する
ruby,ルビー色の
reelect,…を再選する
egocentric,自己中心の
practicable,実行可能な
bloc,《仏語》ブロック
semblance,類似
biochemistry,生化学
provocative,刺激する
discernible,認識できる
refute,論駁(破)する
cod,【魚】タラ
interdependent,互いに依存する
crossed,混線した
blackout,灯火管制 
greasy,グリースを塗った
hog,【動物】ブタ(特に食用豚)
converge,集まる
bulge,ふくらませる
interrogation,尋問
plunder,(～を)略奪(する)
continuance,連続
fraternity,同業者仲間
laurel,栄誉を与える
malignant,悪意のある
facade,《仏語》建物の正面
braid,(紐·髪など)編む
suitor,請願者
repetitive,(けなして)繰り返しの
commoner,一般人
mermaid,人魚
maternity,母であること
unaccountable,説明できない
showcase,陳列棚
expectancy,予測値
transcend,超越する
promenade,散歩する 遊歩
hysteria,ヒステリー
convoy,護衛する
proliferation,増殖
stud,ちりばめる
disgraceful,不面目な
trance,意識もうろう
wrestler,レスラー
prod,刺激する
loft,屋根裏
confidentiality,機密性
fidelity,忠実
elusive,理解しにくい
pitiless,無慈悲な
shred,断片
wig,かつら
pleasurable,愉快な
cerebral,脳の
implicate,(犯罪などに)関係ある
manageable,御しやすい
liaison,【料理】つなぎ
primal,第一の
causal,原因の
scrawl,なぐり書きにする
longstanding,積年の
reclaim,埋め立てる
gee,(間投詞)おや
dainty,きゃしゃな
emulate,と張り合う
beneficiary,受益者
convene,召集する
forge,溶鉄炉
proverbial,ことわざの
reunite,再結合させる
pervert,転倒する
sloppy,だらしのない
groove,楽しいもの
foothold,足場
impetus,勢い
envisage,心に描く
helm,かじ
dissident,意見を異にする(人)
seamless,継ぎ目のない
veal,子牛の肉
pageant,ページェント
affiliate,関係づける
clothesline,物干し綱
provisional,暫定の
preclude,不可能にする
courtroom,法廷
vista,展望
malt,【植物】麦芽
wrestle,ともみ合う
volatile,移り気な
receptive,受容性に富む
focal,焦点の(にある)
lather,石鹸[洗剤]の泡
apologetic,わびの
praiseworthy,賞賛に値した
exemplify,範例となる
overload,過負荷
snuff,くんくんかぐ
melodramatic,メロドラマ的な
bastard,雑種の
microscopic,微視的な
inaugurate,(正式に)開始する
commencement,開始
secretarial,秘書の
wrench,ねじる
bead,ビーズ
dexterity,器用さ
procure,獲得する
overhear,ふと耳にする
bureaucrat,官僚
defiant,挑戦的な
herbal,草の
instability,不安定な性質
inadvertently,うかつに
gallant,勇ましい
antonym,反意語
gymnastics,体操
jargon,わけの分からない言葉
refurbish,みがき直す
counterclockwise,時計と反対方向に
audible,聞こえる
indistinct,はっきりしない
surveillance,(容疑者や敵の)監視
pertinent,適切な
ramble,散歩する
unparalleled,並ぶもののない
paradigm,理論的枠組み
uncompromising,譲歩しない
homely,器量の悪い
covet,切望する
lawmaking,立法
digestive,消化剤
simmer,ぐつぐつ煮える
piss,小便する
inducement,勧誘
coexistence,同時に存在すること
spasm,痙攣
articulate,歯切れの良い
unbeaten,負けたことのない
cutlery,刃物類
misconception,誤解
adept,熟達した
buff,淡い黄褐色のもみ革
stunning,気絶させるような
detention,阻止
concealment,隠すこと
imperialist,
vile,下劣な
remittance,送金
invariable,不変の
drummer,ドラマー
resonance,共鳴
blinding,目をくらます
octave,オクターブ
inflate,膨張させる
gloss,つやを出す 光沢
impediment,妨害
trek,(特に難儀な)旅行
consecutive,連続した
larva,幼虫
facet,(心?問題など?面
rung,Ringの過去分詞形
underway,進行中で
diminutive,小形の
inflammatory,扇動的な
scurry,ちょこちょこ走る
predator,食肉動物
backfire,逆火を起こす
beige,ベージュ
wistful,物欲しそうな
penis,ペニス
delinquent,非行の
foremost,まっさきの
culminate,最高点に達する
maniac,狂人(lunatic)
entitlement,資格
transient,はかない
archaeologist,考古学者
shorthand,速記
envoy,外交使節
liquidity,流動性
adherent,固守する
chisel,彫刻刀 (のみなど)で彫る
poise,身がまえる
grimace,顔をしかめる
censure,痛烈な非難
uprising,反乱
slick,～を滑らかにする
asphalt,アスファルト
outright,完全に
mortar,モルタル
timidity,臆病
substantive,【文法】名詞相当語句
guild,同業組合
repertoire,レパートリー
contemplation,熟考
handiwork,手仕事
granite,花コウ岩
flawless,傷のない
solidarity,団結
logo,紋章 合言葉
incumbent,現職の
erection,勃起
undercover,秘密の
eerie,不気味な
noonday,正午
debtor,債務者
christen,洗礼を施す
wary,油断のない
wretch,不運な人
bumpy,(道路)でこぼこの
politic,抜け目のない
embed,埋め込む
deduce,推論する
simulate,擬態する
proponent,提案者
monastery,修道院
slate,候補者名簿に載せる
attempted,企てた
sparing,控え目な
flowering,花がいっぱいに咲いた
wreckage,難破貨物
toothless,歯のない
embryo,胎児
sheepish,(羊のように)内気な
particularity,独自性
warlike,戦闘的な
necessitate,必要とする
fortify,の防衛を強化する
deterrent,妨げる
zoological,動物学(上)の
arduous,骨の折れる
pendulum,(時計などの)振り子
hectare,ヘクタール
allotment,割当て
indigestion,【病名】消化不良
indigenous,土着の
egotistic,自分中心の
cohesion,粘着
brewer,醸造者
phony,偽の
cliche,(陳腐な)決まり文句
tactical,戦術上の
batsman,打者
beastly,獣のような
outcast,見捨てられた
managerial,経営上の
disperse,分散させる
aesthetics,美学
influenza,インフルエンザ
gag,の口に詰める
gape,裂け目
rebate,手数料
poker,火かき棒
briskly,きびきびと
extraction,摘出
additive,追加の
stoke,燃料をもやす
shimmer,ちらち
transcontinental,大陸横断の
duckling,アヒルの子
notch,(目印の)刻み目をいれる
latent,潜伏している
narcotic,眠気を催すような
smock,スモック
scribble,走り書きする
disadvantaged,恵まれない
ornate,飾りたてた
frenzy,激しい興奮
mundane,世俗的な
boutique,ブティック
minutely,細かく
flick,軽く打つこと
envision,心に描く
impending,切迫した
heartbreak,胸が避けるほどの悲しみ
unprofitable,もうけのない
magnificence,壮大
predictive,予言の
blunder,大失敗する
complexion,形勢
jeopardize,危うくする
eligible,資格のある
clan,一族
neglectful,不注意な
contender,(タイトルをねらう)選手
referendum,国民投票
aftermath,余波
imperative,必須の
disable,役に立たなくする
fraught,伴った
usable,使用できる
reversible,逆にできる
mainframe,(電算機の)本体
creditable,賞賛に値する
subdivision,再分割
rethink,考え直す
brigade,旅団
furnishing,供給
boyish,男の子らしい
safari,(アフリカ)狩猟旅行
powdery,粉末状の
opportune,適切な
cognitive,認識の
appalling,ぞっとするような
therapeutic,治療の
regulatory,規定力をもつ
orthodoxy,正統派的信念
disorderly,混乱した
peripheral,周辺の
abortive,失敗に終わった
momentous,重大な
paramount,最高の(位)の
coral,珊瑚の
bustle,忙しく動き回る
anchorage,停泊
solemnity,厳粛
subdivide,再分割する
fortress,安全地域
misconduct,不品行
termination,終了
tinker,修繕する
untouched,触れない
skull,頭蓋骨
motel,モーテル(Motor Hotel)
quarrelsome,けんかっぱやい
carbohydrate,炭水化物
smother,の息を詰まらせる
tranquility,静穏
accommodating,親切な
investigative,調査にたずさわる
sprout,芽
conveyance,運搬
churn,撹乳器
grenade,手榴弾
mania,マニア
aloft,上方へ
lull,なだめて寝かしつける
erosion,浸食
midwife,助産婦
custodian,管理人
tab,つまみ
revolutionize,に革命を起こす
antagonism,敵意
mince,控えめに言う
presumable,ありそうな
colossal,巨大な
hoard,(財宝の)秘蔵
sluggish,のろい
stub,使い残り
categorize,分類する
pawn,質に入れる
vicar,(英国国教会)教区牧師
chuck,軽くたたく
meticulous,細かいところに気配る
spawn,(水性動物が卵を)生む
autonomous,自治の
sesame,植物ゴマ
pulpit,説教壇
shuttle,シャトル
wedge,くさび
delude,あざむく
exodus,(移民団などの)移住
fateful,決定的な
dropping,滴下
invert,裏返しにする
heartless,無情な
accountability,(行為などを)説明する責任
strut,気取って歩く(こと)
symmetrical,均整のとれた
manure,こやし
crib,(枠付きの)幼児用寝台
sunburn,日焼けさせる
overgrown,一面にはびこった
brutality,横暴さ
underside,裏面
trauma,【病理】外傷
archive,記録保管所
observant,観察力の鋭い
shuffle,(足)をひきずって歩く
fanatic,(政治
screaming,鋭く叫ぶ
reset,リセットする
upside,上側
abstain,棄権する
convertible,変えられる
anthropologist,人類学者
heartache,悲嘆
tee,Ｔ
gadget,道具
fray,争い
methodical,きちょうめんな
unionist,組合員
uncontrolled,抑制されてない
havoc,(自然などの)大破壊
geometric,幾何学的な
inhibition,抑制
adversary,相手
prowl,うろつく
polytechnic,工芸の
existential,存在の
embargo,禁輸措置
parody,替え歌
devastating,荒廃させる
infantry,歩兵
accompanist,伴奏者
dwindle,だんだん小さくなる
restart,再始動する
aroma,芳香
reliant,(人?物?頼っている
ardent,情熱的な
freshwater,淡水
wry,ゆがんだ
enact,(法律を)制定する
unorthodox,正統でない
rhyme,韻をふむ
modernist,現代主義者
ferocious,恐ろしい
exasperate,怒らせる
amass,集める
eradicate,全滅させる
fruitless,無益な
booster,昇圧器
fatty,脂肪質の
televise,テレビで放送する
incomparable,比類のない
recharge,充電する
casserole,《仏語》土なべ(料理)
discrepancy,食違い
mishap,不幸
clarinet,クラリネット
bolster,支持(する)
proximity,近接
spurt,ほとばしり出る
centralization,集中化
dispel,追い散らす
alloy,合金
imminent,差し迫った
venerable,尊敬するに足る
glossary,用語解説
firing,発射する
tint,薄い色
deploy,散開させる
vex,いらいらさせる
relational,関係の
lilac,【植物】リラ
scrutinize,注意深く調べる
diarrhea,【病名】下痢
superfluous,必要以上の
overrun,侵略する
vintage,ぶどう酒
tract,土地の広がり
urine,尿
semicircle,半円(形の物)
possessed,とりつかれた
supposition,想定
consulate,領事館
repository,貯蔵所
iceberg,冷淡な人
martyr,殉教者
erratic,一定しない
abide,がまんする
innermost,もっとも内部の
transistor,トランジスター
headteacher,
unauthorized,権限のない
treatise,学術論文
definitive,決定的な
infamous,評判の悪い
facing,上塗り
paternal,父親らしい
backup,バックアップ
plausible,もっともらしい
deceased,(the ～)死亡[死去]した
allure,そそのかす
ingratitude,忘恩
transact,処理する
topple,倒れる
terminus,終点
spout,ほとばしり出る
scorch,焦げる
artillery,砲
jolt,衝撃
regulator,規制[規定]をする人
autograph,(有名人からもらう)サイン
volley,一斉射撃
nuance,ニュアンス
onset,襲撃
relentless,容赦のない
inconspicuous,目立たない
thee,
oust,(場所?地位などから)追放する
devout,敬虔の念を表す
psychiatric,精神医学の
heave,(力をいれて)持ちあげる
construe,説明する
reactive,(刺激に対して)敏感な
accountable,(行為などに)責任がある
ghostly,幽霊の
deserving,資格のある
outcry,声高な叫び
rift,分裂
ferret,捜し出す
showdown,決着
deficient,欠けている
monumental,堂々とした
naturalist,動(植)物学者
ammunition,弾薬
surmount,の上にそびえる
leaning,傾向
inmate,在院者
mandate,命じる
mantelpiece,暖炉の前飾り
legislator,立法者
sulfur,硫黄で処理する
fervor,(感情の)熱烈さ
nominee,任命された人
revere,尊敬する
resin,樹脂
candid,率直な
stingy,けちな
moratorium,一時的禁止
hideous,恐ろしいほどの
equalize,等しくする
soot,すす
dietary,食べ物の
sperm,精子
defiance,果敢な抵抗
punk,くだらぬもの
outweigh,上回る
faulty,欠陥のある
catastrophic,悲劇的な
countdown,カウントダウン
presumption,見込み
coronation,戴冠式
synthesis,総合
treachery,裏切り行為
haughty,おうへいな
awakening,目覚め
dismantle,取りのぞく
frill,フリルを付ける
floppy,だらりと垂れた
brag,自慢する
varnish,ニス
astound,びっくり仰天させる
reviewer,再調査する人
gastric,胃(の)
hamper,妨げる
foresight,先見
antagonist,敵対者
homestead,家屋敷
inauguration,就任式
burnout,全焼
socialization,社会化
aye,賛成!
upheaval,(社会的な)大変動
purport,主旨
perplexity,当惑
defer,延ばす
outburst,ほとばしり(out + burst)
configuration,構成
retiring,引退している
bladder,嚢
influx,流入
protectionism,保護貿易主義
benevolent,慈悲深い
airman,パイロット
sterling,英貨(の)
bristle,こわ毛
whim,気まぐれ
sear,焼く
prawn,【魚】クルマエビ
glossy,光沢のある
crucify,責め苦しめる
relent,やわらぐ
rehabilitate,社会復帰させる
methodology,方法論
ensue,続く
savor,趣
hierarchical,階層制の
airship,飛行船
lax,弛んだ
nomadic,遊牧の
dripping,ぽたぽた落ちる
multicultural,多文化の
aversion,大嫌い
usher,受付
overpopulation,人口過剰
underwrite,(海上)保険を引き受ける
jumbo,ずばぬけて大きな
neurotic,【病名】神経症
genial,温暖な
dusky,薄暗い
proxy,代理(権
retard,遅らせる
clothespin,洗濯ばさみ
lineup,顔ぶれ
locust,昆虫
disquiet,～を不安にする
diagnose,診断する
communal,地方自治体の
gig,ジャズ演奏の仕事
sham,ごまかし
parenthesis,かっこ
livestock,家畜
antibiotic,抗生物質
ion,イオン
fumble,不器用に手で捜す
baptism,洗礼
sedan,セダン
fungus,(カビ?キノコなどの)菌(類)
benign,親切な
statutory,法令の
ordain,聖職に任命する
selector,選択者
affluence,豊富
engulf,飲み込む
mediation,調停
billboard,大きなコマーシャル用看板
generality,一般的な考え
royalist,王党派
unspoken,言外の
engrave,彫り込む
covenant,契約する
tenure,保有期間
bibliography,参考文献
porcelain,磁器製の
divisional,分割の
adoration,敬愛
incompetent,不適任な
archer,弓の射手
shroud,覆い
appropriation,割り当て
abdomen,腹部
sensual,官能的な
duo,二重奏(曲
mystic,神秘主義者
visibility,見通し
flicker,点滅ライト
barge,遊覧船
diversify,多様化する
molecular,分子の
adhesive,付着力のある
invincible,打ち勝ちがたい
laughable,ばかばかしい
shaggy,毛深い
conjunction,結合
besiege,包囲攻撃する
allegiance,忠誠
tactful,気転のきく
inertia,慣性
intriguing,人の興味をそそる
birthright,相続権
fret,腐食する
incense,立腹させる
ultraviolet,紫外(線)の
rotary,回る
ammonia,アンモニア
sabotage,サボタージュ
hue,色合い
numb,感覚を失った
consul,領事
clockwise,時計方向に
bash,大打撃 たたく
ale,エール酒
suspender,ズボンつり
propriety,礼儀正しさ
saturate,にしみ込む
midsummer,真夏
decease,死亡する
toddler,よちよち歩きの子供
levy,(強制的に)課する
bureaucratic,お役所的な
haunted,幽霊の良く出る
millstone,石臼
veto,拒否する
endangered,絶滅の危機に瀕した
hale,(老人)強壮な
fugitive,変わりやすい
syrup,シロップ
bony,骨の(ような)
shortcoming,欠点
cumulative,累積の
raven,【鳥】ワタリガラス
margarine,マーガリン
weighty,重い
demise,死
phoenix,【エジプト神話】不死鳥
muddle,混乱
attributable,attributeの形容詞形
parameter,パラメーター
skeptic,懐疑的な
complimentary,あいさつの
petticoat,ペチコート
mosque,モスク
disintegrate,崩壊[分解
seniority,先任権
coexist,共存する
quid,1ポンド英貨
gland,腺
duet,音楽二重唱
indict,起訴する
enigmatic,謎めいた
pervasive,普及する
elevated,高架式の
bellow,大声でどなる
bingo,ビンゴ
glamorous,魅惑的な
venue,裁判地
secretive,隠しだてする
dual,【文法】双数の
midland,中部地方
potter,陶工
diesel,ディーゼルエンジン
wade,苦労して歩く
pygmy,小人
colloquial,日常会話の
mountaineer,山の住人
expulsion,排除
fume,発する
flooring,床
overstate,大げさに話す
wharf,波止場
wooded,森のある
groundless,根拠のない
enzyme,酵素
fixing,付属物
advocacy,支持 ad vocare(call)
recourse,頼ること
eminence,著名な
trespass,侵入する
gravitation,【物理】引力
allude,ほのめかす
dominion,支配権
leverage,借入金で投機する
composure,落ち着き
detector,発見者
relegate,追放する
pep,元気
complementary,補完的な
preoccupied,気をとられている
newsagent,新聞販売人
debris,《仏語》破壊の跡
concur,同意する
culprit,犯人
entail,～を負わせる
wee,ちっぽけな
consortium,国際資本合同
amnesty,【法律】恩赦
insulate,絶縁する
camper,キャンパー
motherly,母の
sandstone,砂岩
undercut,下を切取る
symmetry,釣り合い
versatile,多方面な
childbearing,出産
caricature,風刺漫画
greyhound,グレーハウンド
beckon,手招きする
stopover,途中下車の
revert,(元の状態などに)戻る
dangle,ぶらぶらさせる
hack,通俗的な芸術家
payoff,賄賂
derivative,派生した
repeal,無効にする
affidavit,宣誓書
partisan,パルチザン(の)
fundraising,
concord,調和
clamber,(骨折って)よじ登る
figurative,比喩的な
courier,運搬人
overhaul,徹底的調査
strenuous,(行動などが)激しい
peacekeeping,
inaugural,就任(式)の
yoga,ヨガ
aggregate,集まった
rubble,破片
affiliation,加入
pertain,関係がある
projector,映写機
utilitarian,功利主義の
mutation,変化
shipwreck,難破(船)
preoccupy,いっぱいにする
performing,演じること
visionary,夢想家
stark,荒涼とした
intermediary,中間の
cascade,小滝
fracture,骨折する
indefinite,限界のない
recurrent,再発する
eject,追い出す
ventilate,換気する
wince,いやな顔をする
reassurance,安心すること
mug,顔写真を作る
crank,クランク
improvise,即席につくる
bacterial,細菌の
weld,溶接する
feign,のふりをする
connector,コネクタ
premiere,初日
unambiguous,明瞭に
ration,～をあてがう
outset,手始め
retrieval,検索
peacetime,平時
hype,まやかし
baffle,まごつかせる
feasible,実現可能な
unthinkable,全く考えられない
overpay,…を余分に払う
mythical,神話的な
injurious,有害な(harmful)
minimal,最小の
caddie,キャデラック
radiate,四方に広がる
predominantly,優勢に
mandatory,強制的な
graveyard,墓地
brewery,(ビールなどの)醸造所
objectionable,反対すべき
counteract,の影響を弱める
surveyor,鑑定人
broth,薄いスープ
exaltation,精神的高揚
franchise,～に特権を与える
demolish,(建物)を破壊する
racecourse,競争路
sorely,痛ましく
economize,倹約する
bland,人当たりがよい
deflect,偏向させる
quarry,(石などを)切り出す
subsidize,補助金を与える
loom,巨大な姿を現す
expectant,期待した
liberalize,…を自由主義化する
smear,汚れる
coma,昏睡(状態)
borrowing,借用
flare,ゆらゆら燃える
nostalgia,郷愁
flank,(～の)側面に位置する
theology,神学
penal,刑事上の
gingerly,きわめて用心深く
insurer,保険者
armament,軍備
loot,戦利品
woo,求婚する
ulcer,【病名】潰瘍（かいよう）
trimming,バランスをとる
guiltless,罪のない
butt,(獣が)角で激しく突く
cellular,細胞の
speculator,投機師
bout,勝負
oblivious,気付かない
obliterate,消す
flirt,もてあそぶ
calculating,打算的な
muster,(勇気)を奮い起こす
glamour,魅惑
neutron,中性子
tactic,順序の
empirical,経験的な
legality,適法
ambush,待ち伏せる
pendant,ペンダント
clam,ハマグリ
facile,愛想のよい
paralysis,中風
compliance,応諾
sustenance,維持すること
stipulate,規定する
alight,(車?馬から)おりる
simplistic,過度に単純化した
fragmentary,断片的な
mentor,よき助言者
ceremonious,儀式ばった
crafty,こうかつな
cobweb,クモの巣
snowflake,雪片
ceramic,セラミック
migrant,移住者
pastel,パステル画
coax,なだめすかす
huddle,群がる
scapegoat,スケープゴート
perspiration,努力
affinity,密接な関係
basil,【植物】メボウキ
consign,引き渡す
constrain,抑えつける
overcrowd,混雑させる
elicit,(情報など)引き出す
compression,圧縮
variant,異なった
lamentable,悲しむべき
fuse,ヒューズ
baptize,に洗礼を施す
buildup,(兵力?体力?産業)増強
flop,ばったりと倒れる
ratify,(条約)を批准する
artery,動脈
niche,(人
matching,釣り合う
electorate,選挙民
asthma,【病名】喘息(ぜんそく)
feudalism,封建制度
maritime,海運上の
throb,動悸を打つ
padding,詰め物
grievance,苦情(の種)
proportionate,比例した
resumption,再開
neon,ネオン
militia,市民軍
tingle,ずきずきする
dishonesty,不正直
dormant,眠っている
turbulence,乱気流
cardinal,枢機卿 主要の
accelerator,【車】《英》アクセル
retarded,知能の遅れた
monotone,単調
plight,ありさま
occult,超自然的な
default,履行しない
stoppage,停止
frosty,凍りつくような
nymph,ニンフ
questionable,疑わしい
wager,請け合う
unforeseen,予期しない
amber,琥珀
expressly,明白に
creepy,むずむずする
beset,～を包囲する
flint,非常に堅い物
saga,英雄伝
deplore,ひどく悲しむ
invoke,慈悲を懇願する
oatmeal,オートミール
bourgeois,中産階級の
